feature,importance
F3,0.14149849851092255
F4,0.06824129934981665
F2 F8,0.03746243512068883
F4^2,0.033146630131433
F5,0.027336926149250297
F2 F4,0.027079283667468076
F8,0.025828991793068266
F4 F8,0.025072697149753496
F7 F8,0.02459861055838549
F3 F8,0.024436222262787723
F4 F6,0.024270066558138757
F6,0.02256581423568438
F4 F7,0.021049644400522753
F8 F9,0.01839686562166729
F6 F8,0.01831363473768092
F6 F7,0.0179107841072572
F8^2,0.017804480440747155
F1 F6,0.017239213625942332
F7^2,0.017043708351821455
F4 F9,0.01702622952777141
F6^2,0.016636387922739183
F7 F9,0.016585506728760625
F5 F8,0.015743933026978036
F7,0.015572580538653182
F3 F4,0.01414675113702072
F2 F6,0.01398034779716546
F2 F3,0.013919230232586857
F6 F9,0.013430326380244408
F3 F7,0.012908166139616324
F4 F5,0.012822698121208398
F9^2,0.012789463975244109
F1 F4,0.011981971028345768
F1 F8,0.01192558280364009
F5 F7,0.011435018183972592
F3^2,0.011113324852656196
F3 F9,0.01106787414507228
F9,0.01104363591994948
F5^2,0.010814579890206495
F1 F2,0.010772687876944749
F3 F6,0.0107421020557703
F2 F7,0.010672630889373529
F2 F5,0.010489151829586294
F2 F9,0.009271926905201594
F5 F9,0.009051131001107958
F5 F6,0.009037688471386716
F3 F5,0.008990336117948045
F1 F7,0.008767472125757408
F1 F9,0.008187865316847237
F2,0.0076272632130009585
F1,0.007032675253999109
F2^2,0.006622612163397554
F1 F3,0.006579185568422416
F1 F5,0.0063875769329976954
F1^2,0.005528279153390222
